variant,reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v28d_sig02,200,curated,altboth_b24_s6060,17,22.0,-0.0029498809848818026,0.004050119015118198,False,0.006079300810590382
v28d_sig02,200,curated,altboth_b24_s6060,17,25.0,-0.0032963844369187202,0.00370361556308128,False,0.005896244043710386
v28d_sig02,200,curated,altboth_b24_s6060,29,18.0,-0.004819571560724517,0.002180428439275483,False,0.006323462816354741
v28d_sig02,200,curated,altboth_b24_s6060,29,22.0,-0.005292688440397086,0.001707311559602914,False,0.006079300810590382
v28d_sig02,200,curated,altboth_b24_s6060,29,25.0,-0.0055980387742418924,0.0014019612257581077,False,0.005896244043710386
v28d_sig02,200,curated,deepcheck_b12_s8080,5,18.0,-0.004521047975818792,0.002478952024181208,False,0.006323462816354741
v28d_sig02,200,curated,deepcheck_b12_s8080,5,22.0,-0.004676033522262346,0.0023239664777376544,False,0.006079300810590382
v28d_sig02,200,curated,deepcheck_b12_s8080,5,25.0,-0.0047556951279405235,0.0022443048720594766,False,0.005896244043710386
v28d_sig02,200,curated,deepcheck_b12_s8080,17,18.0,-0.004836831045906259,0.0021631689540937415,False,0.006323462816354741
v28d_sig02,200,curated,deepcheck_b12_s8080,17,22.0,-0.0049143753625112245,0.0020856246374887756,False,0.006079300810590382
v28d_sig02,200,curated,deepcheck_b12_s8080,17,25.0,-0.0051296346655089085,0.0018703653344910916,False,0.005896244043710386
v28d_sig02,200,curated,deepcheck_b12_s8080,29,18.0,-0.0042521981176982075,0.0027478018823017926,False,0.006323462816354741
v28d_sig02,200,curated,deepcheck_b12_s8080,29,22.0,-0.004571586291011725,0.002428413708988275,False,0.006079300810590382
v28d_sig02,200,curated,deepcheck_b12_s8080,29,25.0,-0.004910793023270987,0.0020892069767290133,False,0.005896244043710386
v28d_sig02,200,curated,deepcheck_b28_s9090,5,18.0,-0.002788194050052095,0.004211805949947905,False,0.006323462816354741
v28d_sig02,200,curated,deepcheck_b28_s9090,5,22.0,-0.003109215752798805,0.0038907842472011953,False,0.006079300810590382
v28d_sig02,200,curated,deepcheck_b28_s9090,5,25.0,-0.003534122324704869,0.003465877675295131,False,0.005896244043710386
v28d_sig02,200,curated,deepcheck_b28_s9090,17,18.0,-0.002998292091410109,0.004001707908589891,False,0.006323462816354741
v28d_sig02,200,curated,deepcheck_b28_s9090,17,22.0,-0.003399658013876532,0.003600341986123468,False,0.006079300810590382
v28d_sig02,200,curated,deepcheck_b28_s9090,17,25.0,-0.003684358213052868,0.0033156417869471323,False,0.005896244043710386
v28d_sig02,200,curated,deepcheck_b28_s9090,29,18.0,-0.003693010799916868,0.003306989200083132,False,0.006323462816354741
v28d_sig02,200,curated,deepcheck_b28_s9090,29,22.0,-0.0037413769707842657,0.0032586230292157344,False,0.006079300810590382
v28d_sig02,200,curated,deepcheck_b28_s9090,29,25.0,-0.004150755777398402,0.0028492442226015985,False,0.005896244043710386
v28d_sig02,200,curated,stress_b14_s7070,5,18.0,-0.004910906498894157,0.002089093501105843,False,0.006323462816354741
v28d_sig02,200,curated,stress_b14_s7070,5,22.0,-0.004944572913802242,0.0020554270861977584,False,0.006079300810590382
v28d_sig02,200,curated,stress_b14_s7070,5,25.0,-0.005418226639821916,0.0015817733601780843,False,0.005896244043710386
v28d_sig02,200,curated,stress_b14_s7070,17,18.0,-0.004283342940132773,0.0027166570598672274,False,0.006323462816354741
v28d_sig02,200,curated,stress_b14_s7070,17,22.0,-0.004303103735820951,0.002696896264179049,False,0.006079300810590382
v28d_sig02,200,curated,stress_b14_s7070,17,25.0,-0.0043312759622088194,0.0026687240377911807,False,0.005896244043710386
v28d_sig02,200,curated,stress_b14_s7070,29,18.0,-0.005363062824557041,0.0016369371754429594,False,0.006323462816354741
v28d_sig02,200,curated,stress_b14_s7070,29,22.0,-0.005965716410135596,0.0010342835898644043,False,0.006079300810590382
v28d_sig02,200,curated,stress_b14_s7070,29,25.0,-0.006411993483135936,0.000588006516864064,False,0.005896244043710386
v28d_sig02,200,curated,stress_b30_s10010,5,18.0,-0.0021654349101577486,0.0048345650898422516,False,0.006323462816354741
v28d_sig02,200,curated,stress_b30_s10010,5,22.0,-0.002331471667967666,0.004668528332032334,False,0.006079300810590382
v28d_sig02,200,curated,stress_b30_s10010,5,25.0,-0.00246341793312958,0.00453658206687042,False,0.005896244043710386
v28d_sig02,200,curated,stress_b30_s10010,17,18.0,-0.0025611629921466926,0.004438837007853308,False,0.006323462816354741
v28d_sig02,200,curated,stress_b30_s10010,17,22.0,-0.002648188583133748,0.004351811416866252,False,0.006079300810590382
v28d_sig02,200,curated,stress_b30_s10010,17,25.0,-0.002947215186634122,0.004052784813365878,False,0.005896244043710386
v28d_sig02,200,curated,stress_b30_s10010,29,18.0,-0.0025716334483548205,0.00442836655164518,False,0.006323462816354741
v28d_sig02,200,curated,stress_b30_s10010,29,22.0,-0.0035137889550144684,0.0034862110449855317,False,0.006079300810590382
v28d_sig02,200,curated,stress_b30_s10010,29,25.0,-0.003890878258790248,0.0031091217412097523,False,0.005896244043710386
