variant,pack,group,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25y_pA,pack1,curated,altboth_b24_s6060,29,25,600,-0.005399259646708892,0.001600740353291108,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altseed_b20_s5252,5,18,600,-0.004313028837771437,0.002686971162228563,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altseed_b20_s5252,5,22,600,-0.004589894015613061,0.002410105984386939,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altseed_b20_s5252,5,25,600,-0.0047459243908389345,0.0022540756091610657,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altseed_b20_s5252,17,18,600,-0.0038736320113543165,0.0031263679886456837,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altseed_b20_s5252,17,22,600,-0.004236161014214662,0.002763838985785338,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altseed_b20_s5252,17,25,600,-0.004500137018256583,0.002499862981743417,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,altseed_b20_s5252,29,18,600,-0.004462221732027315,0.002537778267972685,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,altseed_b20_s5252,29,22,600,-0.004858767010659309,0.002141232989340691,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,altseed_b20_s5252,29,25,600,-0.005194098487201304,0.0018059015127986962,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,baseline_b20_s4242,5,18,600,-0.003993744253904902,0.0030062557460950982,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,baseline_b20_s4242,5,22,600,-0.004329380493382018,0.002670619506617982,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,baseline_b20_s4242,5,25,600,-0.004585605336177828,0.002414394663822172,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,baseline_b20_s4242,17,18,600,-0.0035657733000737097,0.0034342266999262904,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,baseline_b20_s4242,17,22,600,-0.0038313182771311572,0.003168681722868843,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,baseline_b20_s4242,17,25,600,-0.004085571997607261,0.002914428002392739,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,baseline_b20_s4242,29,18,600,-0.004339268019285941,0.002660731980714059,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,baseline_b20_s4242,29,22,600,-0.004632570177541528,0.002367429822458472,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,baseline_b20_s4242,29,25,600,-0.004920227259773501,0.0020797727402264987,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,deepcheck_b12_s8080,5,18,600,-0.0050373399248582525,0.0019626600751417476,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,deepcheck_b12_s8080,5,22,600,-0.005432892829390812,0.0015671071706091881,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,deepcheck_b12_s8080,5,25,600,-0.005726569409134042,0.0012734305908659585,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,deepcheck_b12_s8080,17,18,600,-0.005080115082131248,0.0019198849178687525,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,deepcheck_b12_s8080,17,22,600,-0.005333783697612271,0.0016662163023877293,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,deepcheck_b12_s8080,17,25,600,-0.00566636279011834,0.0013336372098816602,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,deepcheck_b12_s8080,29,18,600,-0.004907295887410501,0.0020927041125894993,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,deepcheck_b12_s8080,29,22,600,-0.005230351763467261,0.0017696482365327391,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,deepcheck_b12_s8080,29,25,600,-0.005441611524404938,0.0015583884755950624,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,deepcheck_b28_s9090,5,18,600,-0.002901094938055276,0.0040989050619447236,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,deepcheck_b28_s9090,5,22,600,-0.003091820234083714,0.0039081797659162865,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,deepcheck_b28_s9090,5,25,600,-0.0032707776125645237,0.0037292223874354764,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,deepcheck_b28_s9090,17,18,600,-0.003218332426421094,0.003781667573578906,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,deepcheck_b28_s9090,17,22,600,-0.0034527712735814785,0.0035472287264185216,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,deepcheck_b28_s9090,17,25,600,-0.003619788809960084,0.0033802111900399162,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,deepcheck_b28_s9090,29,18,600,-0.003299323822067795,0.003700676177932205,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,deepcheck_b28_s9090,29,22,600,-0.003519969191535427,0.0034800308084645733,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,deepcheck_b28_s9090,29,25,600,-0.00374906264329638,0.00325093735670362,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,stress_b14_s7070,5,18,600,-0.005201433957895296,0.001798566042104704,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,stress_b14_s7070,5,22,600,-0.005616751632821837,0.001383248367178163,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,stress_b14_s7070,5,25,600,-0.0060481376901954376,0.0009518623098045626,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,stress_b14_s7070,17,18,600,-0.004296531753316529,0.002703468246683471,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,stress_b14_s7070,17,22,600,-0.004424413944056782,0.0025755860559432183,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,stress_b14_s7070,17,25,600,-0.0046065769153085185,0.0023934230846914817,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,stress_b14_s7070,29,18,600,-0.005529019537821594,0.001470980462178406,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,stress_b14_s7070,29,22,600,-0.005822450317750932,0.001177549682249068,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,stress_b14_s7070,29,25,600,-0.006148267233576787,0.0008517327664232131,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,stress_b30_s10010,5,18,600,-0.003133069211200251,0.0038669307887997492,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,stress_b30_s10010,5,22,600,-0.0032581115742842943,0.003741888425715706,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,stress_b30_s10010,5,25,600,-0.003457161684689891,0.003542838315310109,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,stress_b30_s10010,17,18,600,-0.003325220789837485,0.003674779210162515,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,stress_b30_s10010,17,22,600,-0.003505168801534336,0.003494831198465664,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,stress_b30_s10010,17,25,600,-0.003705687523578927,0.0032943124764210734,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,curated,stress_b30_s10010,29,18,600,-0.002876093509909899,0.0041239064900901005,False,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862
v25y_pA,pack1,curated,stress_b30_s10010,29,22,600,-0.002956256433470833,0.004043743566529167,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,curated,stress_b30_s10010,29,25,600,-0.0031308909222765744,0.0038691090777234257,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,random_holdout,pack1_random_holdout_b10_p10572,5,22,600,-0.006079984804704275,0.0009200151952957255,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,random_holdout,pack1_random_holdout_b10_p10572,5,25,600,-0.006299294422469387,0.000700705577530613,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
v25y_pA,pack1,random_holdout,pack1_random_holdout_b10_p10572,17,22,600,-0.005913972669274225,0.0010860273307257747,False,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638
v25y_pA,pack1,random_holdout,pack1_random_holdout_b10_p10572,17,25,600,-0.006104552282172782,0.0008954477178272184,False,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234
