variant,scenario,block_size,base_path_seed,seed_jitter,path_seed,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate
v25s_n8,rand_b13_p6575,13,6575,7,6582,5,25,1200,-0.006185735835541367,0.0008142641644586328,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_n8,rand_b13_p6575,13,6575,7,6582,17,25,1200,-0.005739537467190259,0.0012604625328097412,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,0,8284,5,25,300,-0.005787339978795474,0.001212660021204526,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,0,8284,17,25,300,-0.00704798387398779,-4.798387398778983e-05,True,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,3,8287,5,25,300,-0.0068514320312978326,0.00014856796870216758,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,3,8287,17,25,300,-0.004748306865358459,0.002251693134641541,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,7,8291,5,25,300,-0.006105988884751589,0.0008940111152484108,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,7,8291,17,25,300,-0.005898297623018578,0.0011017023769814222,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,0,8284,5,25,1200,-0.006249247338887792,0.0007507526611122079,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,0,8284,17,25,1200,-0.005899333396698026,0.0011006666033019745,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,3,8287,5,25,1200,-0.005617085691567536,0.0013829143084324643,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,3,8287,17,25,1200,-0.005689659748221288,0.0013103402517787126,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,7,8291,5,25,1200,-0.006319052087599952,0.0006809479124000482,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,holdout_b12_p8284,12,8284,7,8291,17,25,1200,-0.0058722301567809,0.0011277698432191003,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,0,8441,5,25,300,-0.006759973499878308,0.00024002650012169228,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,0,8441,17,25,300,-0.007605306039781029,-0.0006053060397810291,True,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,3,8444,5,25,300,-0.005962393307498454,0.0010376066925015465,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,3,8444,17,25,300,-0.006099359401069621,0.0009006405989303795,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,7,8448,5,25,300,-0.006588263845862257,0.0004117361541377427,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,7,8448,17,25,300,-0.006564293762464218,0.00043570623753578196,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
v25s_nA,pack2603_b10_p8441,10,8441,0,8441,5,25,1200,-0.006280579088662902,0.0007194209113370979,False,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.06021505376344086
