variant,path_bootstrap_reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25w_n8,600,curated,deepcheck_b12_s8080,17,18,-0.0052170360914791545,0.0017829639085208456,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,deepcheck_b12_s8080,17,22,-0.005375558933735797,0.0016244410662642032,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,deepcheck_b12_s8080,17,25,-0.005682799157864027,0.001317200842135973,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,deepcheck_b12_s8080,29,18,-0.00491483489110135,0.0020851651088986504,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,deepcheck_b12_s8080,29,22,-0.005238396459906786,0.0017616035400932145,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,deepcheck_b12_s8080,29,25,-0.005449965435910309,0.0015500345640896912,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,deepcheck_b28_s9090,5,18,-0.0030118419770604477,0.0039881580229395525,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,deepcheck_b28_s9090,5,22,-0.003154935614574439,0.0038450643854255613,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,deepcheck_b28_s9090,5,25,-0.003316504464190628,0.0036834955358093723,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,deepcheck_b28_s9090,17,18,-0.0033140011528916824,0.0036859988471083177,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,deepcheck_b28_s9090,17,22,-0.0035400951753115748,0.0034599048246884254,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,deepcheck_b28_s9090,17,25,-0.003672268520215488,0.003327731479784512,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,deepcheck_b28_s9090,29,18,-0.003435215526127483,0.0035647844738725173,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,deepcheck_b28_s9090,29,22,-0.003625765351719162,0.003374234648280838,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,deepcheck_b28_s9090,29,25,-0.0038069816731929273,0.003193018326807073,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,stress_b14_s7070,5,18,-0.005225644820787079,0.0017743551792129214,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,stress_b14_s7070,5,22,-0.005646156099255161,0.0013538439007448394,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,stress_b14_s7070,5,25,-0.006062524004235337,0.0009374759957646635,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,stress_b14_s7070,17,18,-0.0043509826280832276,0.0026490173719167726,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,stress_b14_s7070,17,22,-0.0045374171255039225,0.0024625828744960776,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,stress_b14_s7070,17,25,-0.004675375118629071,0.0023246248813709293,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,stress_b14_s7070,29,18,-0.005596252328413875,0.0014037476715861247,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,stress_b14_s7070,29,22,-0.005831637021822511,0.0011683629781774896,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,stress_b14_s7070,29,25,-0.006157069042444807,0.0008429309575551935,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b10_p10572,5,25,-0.006308983320289618,0.0006910166797103818,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b10_p10572,17,25,-0.0061545738848929055,0.0008454261151070947,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b10_p10572,29,25,-0.006657225300403391,0.0003427746995966095,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b11_p12340,5,25,-0.005764541741860913,0.0012354582581390874,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b11_p12340,17,25,-0.005700145912766441,0.0012998540872335594,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b11_p12340,29,25,-0.005714657813197738,0.0012853421868022621,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b12_p6198,5,25,-0.00652506015383183,0.00047493984616817,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b12_p6198,17,25,-0.005528338425693467,0.0014716615743065329,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b12_p6198,29,25,-0.004994529502037104,0.0020054704979628963,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b15_p7889,5,25,-0.005482751291763088,0.0015172487082369124,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b15_p7889,17,25,-0.006198729264516694,0.000801270735483306,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b15_p7889,29,25,-0.005278029633995512,0.0017219703660044878,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b15_p8956,5,25,-0.005910979899915619,0.0010890201000843813,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b15_p8956,17,25,-0.005503686147283643,0.0014963138527163576,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b15_p8956,29,25,-0.005660278177108613,0.0013397218228913873,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b16_p10086,5,25,-0.005324833420030289,0.0016751665799697108,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b16_p10086,17,25,-0.005204137300300759,0.0017958626996992409,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_holdout,random_holdout_b16_p10086,29,25,-0.005612399960360081,0.001387600039639919,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b10_p9889,5,25,-0.006170054086240089,0.000829945913759911,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b10_p9889,17,25,-0.005793746514786429,0.0012062534852135707,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b10_p9889,29,25,-0.005891860221039558,0.0011081397789604423,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,random_train,random_train_b11_p6801,5,25,-0.005594479087830695,0.0014055209121693049,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
