scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,slippage_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
altseed_b20_s5252,20,5252,17,22,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.004416716579936669
altseed_b20_s5252,20,5252,29,22,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.005527313856197918
altseed_b20_s5252,20,5252,5,25,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.003969441784738142
altseed_b20_s5252,20,5252,17,25,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.004514568098962462
altseed_b20_s5252,20,5252,29,25,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.0057074734387753834
baseline_b20_s4242,20,4242,5,12,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005187577911988511
baseline_b20_s4242,20,4242,17,12,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005362743130448383
baseline_b20_s4242,20,4242,29,12,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005943631509769409
baseline_b20_s4242,20,4242,5,15,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.005581958958218658
baseline_b20_s4242,20,4242,17,15,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.005840501797410658
baseline_b20_s4242,20,4242,29,15,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.006121767648836246
baseline_b20_s4242,20,4242,5,18,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.005063406512617996
baseline_b20_s4242,20,4242,17,18,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.003527748691040389
baseline_b20_s4242,20,4242,29,18,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.0036359760232794022
baseline_b20_s4242,20,4242,5,22,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.0050835427184720726
baseline_b20_s4242,20,4242,17,22,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.004084281381843185
baseline_b20_s4242,20,4242,29,22,22,0.00626392456072331,0.0033314360926126607,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.006287948781112,-0.004084321588809348
baseline_b20_s4242,20,4242,5,25,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.005161495394479504
baseline_b20_s4242,20,4242,17,25,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.0044949570962503575
baseline_b20_s4242,20,4242,29,25,25,0.006081594873280194,0.0032793641792554507,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0063202674247963,-0.004556994250221292
deepcheck_b12_s8080,12,8080,5,12,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.005878693680526969
deepcheck_b12_s8080,12,8080,17,12,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.007423555605637777
deepcheck_b12_s8080,12,8080,29,12,12,0.0058020733637623055,0.00350502188809676,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.0075173856862117,-0.006694643973356534
deepcheck_b12_s8080,12,8080,5,15,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.006455268675337589
deepcheck_b12_s8080,12,8080,17,15,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.007972679399081129
deepcheck_b12_s8080,12,8080,29,15,15,0.005624313688936455,0.003452944089644472,0.0006324888140830764,0.02193548387096774,-0.0023542666504782,0.007556063111144,-0.006906836086028567
deepcheck_b12_s8080,12,8080,5,18,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.005434068174236783
deepcheck_b12_s8080,12,8080,17,18,18,0.006507115351749304,0.0034008680567532146,0.0006505539019767048,0.023225806451612905,-0.0018862103256267,0.0062448564547221,-0.005226633260901353
