variant,scenario,scenario_group,pack_seed,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,pack2603_b15_p10607,random_shortblock,2603,15,10607,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005340213514936088
v25r_n8,pack2603_b16_p11082,random_shortblock,2603,16,11082,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005562054716699832
v25r_n8,pack2603_b16_p11082,random_shortblock,2603,16,11082,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0060153196735061865
v25r_n8,pack2603_b16_p12164,random_shortblock,2603,16,12164,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006080678486189766
v25r_n8,pack2603_b16_p12164,random_shortblock,2603,16,12164,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004812613631929119
v25r_n8,pack2603_b17_p12199,random_shortblock,2603,17,12199,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006061147671406575
v25r_n8,pack2603_b17_p12199,random_shortblock,2603,17,12199,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006310852380330578
v25r_n8,pack2603_b17_p9754,random_shortblock,2603,17,9754,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005593870846414278
v25r_n8,pack2603_b17_p9754,random_shortblock,2603,17,9754,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004669490545757327
v25r_n8,pack2603_b18_p11365,random_shortblock,2603,18,11365,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0050723908306365365
v25r_n8,pack2603_b18_p11365,random_shortblock,2603,18,11365,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004339426603623975
v25r_n8,altblock_b24_s4242,sentinel,-1,24,4242,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003303879281709743
v25r_n8,altblock_b24_s4242,sentinel,-1,24,4242,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331708687348245
v25r_n8,baseline_b20_s4242,sentinel,-1,20,4242,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004314821232002247
v25r_n8,baseline_b20_s4242,sentinel,-1,20,4242,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331520506860919
v25r_n8,stress_b30_s10010,sentinel,-1,30,10010,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0032720638954540026
v25r_n8,stress_b30_s10010,sentinel,-1,30,10010,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00313399165176918
v25r_nA,pack2601_b10_p12259,random_shortblock,2601,10,12259,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005759118679490199
v25r_nA,pack2601_b10_p12259,random_shortblock,2601,10,12259,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006213082638421736
v25r_nA,pack2601_b11_p5942,random_shortblock,2601,11,5942,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005051473006899098
v25r_nA,pack2601_b11_p5942,random_shortblock,2601,11,5942,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005460776060662642
v25r_nA,pack2601_b12_p10072,random_shortblock,2601,12,10072,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005664345236233581
v25r_nA,pack2601_b12_p10072,random_shortblock,2601,12,10072,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006288574727109547
v25r_nA,pack2601_b12_p12818,random_shortblock,2601,12,12818,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005126106130657498
v25r_nA,pack2601_b12_p12818,random_shortblock,2601,12,12818,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.0051666166551150635
v25r_nA,pack2601_b13_p6168,random_shortblock,2601,13,6168,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005510080894111163
v25r_nA,pack2601_b13_p6168,random_shortblock,2601,13,6168,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005882287567804523
v25r_nA,pack2601_b14_p12220,random_shortblock,2601,14,12220,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.007046780019649135
v25r_nA,pack2601_b14_p12220,random_shortblock,2601,14,12220,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006111606044957157
v25r_nA,pack2601_b15_p11334,random_shortblock,2601,15,11334,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006861137750019347
v25r_nA,pack2601_b15_p11334,random_shortblock,2601,15,11334,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.00555565305517407
v25r_nA,pack2601_b15_p12670,random_shortblock,2601,15,12670,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.0051357631444166885
v25r_nA,pack2601_b15_p12670,random_shortblock,2601,15,12670,17,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.006269534423628237
v25r_nA,pack2601_b15_p5628,random_shortblock,2601,15,5628,5,25,0.005195955420592613,0.0032872408390114405,0.0006714762540477564,0.024086021505376344,-0.0018900181750552,0.006158482372667,-0.005045324978335436
