variant,feature_family,signal_model_family,regime_drawdown_threshold,regime_drawdown_floor,state_scale_slope_min,state_scale_slope_max,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altblock_b16_s4242,5,25.0,300,-0.003273945428312475,0.0037260545716875254,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altblock_b16_s4242,17,22.0,300,-0.002988057922646814,0.004011942077353186,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altblock_b16_s4242,17,25.0,300,-0.0031081789711364105,0.0038918210288635896,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altseed_b20_s5252,5,22.0,300,-0.002449385057166714,0.004550614942833286,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altseed_b20_s5252,5,25.0,300,-0.002478413960941811,0.004521586039058189,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altseed_b20_s5252,17,22.0,300,-0.002718464409663973,0.004281535590336027,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,altseed_b20_s5252,17,25.0,300,-0.002985940494283612,0.0040140595057163875,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,deepcheck_b12_s8080,5,22.0,300,-0.003073754833211234,0.003926245166788766,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,deepcheck_b12_s8080,5,25.0,300,-0.0031020217775544865,0.0038979782224455137,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,deepcheck_b12_s8080,17,22.0,300,-0.003012255268363151,0.00398774473163685,False,0.00503850758021378,0.009931889308760456,0.00042584698137376655
v38_state_scale_balanced,baseline,state_scaled_linear,-0.1,-0.22,-1.2,0.3,deepcheck_b12_s8080,17,25.0,300,-0.0030541411221665757,0.003945858877833424,False,0.004918967232918625,0.009619786375701534,0.00042584698137376655
