variant,scenario,scenario_group,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25p_a,rand_b12_p7573,random_shortblock,12,7573,29,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.004855740685774457
v25p_a,rand_b12_p7573,random_shortblock,12,7573,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005444486968364431
v25p_a,rand_b12_p7573,random_shortblock,12,7573,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005729617912521773
v25p_a,rand_b12_p7573,random_shortblock,12,7573,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.004476101422877965
v25p_a,rand_b12_p7573,random_shortblock,12,7573,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005255323715085203
v25p_a,rand_b12_p7573,random_shortblock,12,7573,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005859953926248618
v25p_a,rand_b12_p7573,random_shortblock,12,7573,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.0060550335012479915
v25p_a,rand_b12_p7573,random_shortblock,12,7573,17,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.00478603261834426
v25p_a,rand_b12_p7573,random_shortblock,12,7573,29,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005523323095669591
v25p_a,rand_b13_p11187,random_shortblock,13,11187,5,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.005629951213619166
v25p_a,rand_b13_p11187,random_shortblock,13,11187,11,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.004652849446787804
v25p_a,rand_b13_p11187,random_shortblock,13,11187,17,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.004872910244251127
v25p_a,rand_b13_p11187,random_shortblock,13,11187,29,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.004555034470408265
v25p_a,rand_b13_p11187,random_shortblock,13,11187,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005859508364300647
v25p_a,rand_b13_p11187,random_shortblock,13,11187,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005212681543109609
v25p_a,rand_b13_p11187,random_shortblock,13,11187,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.0053236033409810755
v25p_a,rand_b13_p11187,random_shortblock,13,11187,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005048011392605767
v25p_a,rand_b13_p11187,random_shortblock,13,11187,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.00626834119866998
v25p_a,rand_b13_p11187,random_shortblock,13,11187,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005630709719035287
v25p_a,rand_b13_p11187,random_shortblock,13,11187,17,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005593114851007874
v25p_a,rand_b13_p11187,random_shortblock,13,11187,29,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005318585293015842
v25p_a,rand_b13_p6575,random_shortblock,13,6575,5,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.006532333520075323
v25p_a,rand_b13_p6575,random_shortblock,13,6575,11,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.004619729261732685
v25p_a,rand_b13_p6575,random_shortblock,13,6575,17,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.005289278017712945
v25p_a,rand_b13_p6575,random_shortblock,13,6575,29,18,0.005690026556344474,0.0034041928687094103,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0060729298861862,-0.005015882454186676
v25p_a,rand_b13_p6575,random_shortblock,13,6575,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.0069521211916143905
v25p_a,rand_b13_p6575,random_shortblock,13,6575,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005070697166316984
v25p_a,rand_b13_p6575,random_shortblock,13,6575,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005457656725234639
v25p_a,rand_b13_p6575,random_shortblock,13,6575,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.005330831955093129
v25p_a,rand_b13_p6575,random_shortblock,13,6575,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.0072686015568848685
v25p_a,rand_b13_p6575,random_shortblock,13,6575,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005354230858257647
v25p_a,rand_b13_p6575,random_shortblock,13,6575,17,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005580068339118322
v25p_a,rand_b13_p6575,random_shortblock,13,6575,29,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.005640037874821685
v25p_a,stress_b30_s10010,sentinel,30,10010,5,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.0027794568780765967
v25p_a,stress_b30_s10010,sentinel,30,10010,11,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.003724531237359929
v25p_a,stress_b30_s10010,sentinel,30,10010,17,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.002993092648807005
v25p_a,stress_b30_s10010,sentinel,30,10010,29,22,0.005439288722553037,0.0033344757772477696,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061164216403638,-0.0029248549012469926
v25p_a,stress_b30_s10010,sentinel,30,10010,5,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.0029060872287060336
v25p_a,stress_b30_s10010,sentinel,30,10010,11,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.003940763193447816
v25p_a,stress_b30_s10010,sentinel,30,10010,17,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.0030807901162202664
v25p_a,stress_b30_s10010,sentinel,30,10010,29,25,0.005251300621383015,0.003282190035266863,0.0006707529060632234,0.024086021505376344,-0.0018871140378536,0.0061490398406234,-0.0031165667026034904
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0033098565951188374
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0038893701597846383
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003303879281709743
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0038669791786798634
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.003532627576329661
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004234316089636652
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0035680731330058834
v25p_ref_n8,altblock_b24_s4242,sentinel,24,4242,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331708687348245
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004799873701138352
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005825112738163945
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004314821232002247
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0041719914644903315
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005110057539455087
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006068006478306237
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004504626315827642
v25p_ref_n8,baseline_b20_s4242,sentinel,20,4242,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331520506860919
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,5,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0055661189522173355
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,11,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.006158465646443317
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,17,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.00389355364202788
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,29,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.006220052454403651
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005891443891378906
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006707544231353113
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.00435032868821682
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006570184408631835
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006070939975247519
v25p_ref_n8,rand_b10_p10706,random_shortblock,10,10706,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006938736258814732
