split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,57,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.142297,182,260,220,1,0,0,0,41,0,0,1,292,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000527,-0.004183,0.00262,-0.001573,False,True,200,61,-0.085968,-0.152449,-0.49394,0.057209,-0.438125,0.480932,0.158386,0.135052,-0.111343,-0.328018,0.068692,0.083785,0.729718,0.00438
chrono,57,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.142297,182,260,220,1,0,0,0,41,0,0,1,292,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.000527,-0.004183,0.00262,-0.001573,False,True,200,61,-0.085968,-0.152449,-0.49394,0.057209,-0.438125,0.480932,0.158386,0.135052,-0.111343,-0.328018,0.068692,0.083785,0.729718,0.00438
chrono,57,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.078982,228,260,220,0,0,3,0,8,0,0,1,246,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000556,-0.001813,0.0017,0.001343,False,True,200,196,-0.087348,-0.118089,-0.519002,0.031383,-0.53298,0.4164,0.131284,0.186554,-0.139103,-0.380656,0.048485,0.108494,0.723905,0.004309
chrono,57,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.078982,228,260,220,0,0,3,0,8,0,0,1,246,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000556,-0.001813,0.0017,0.001343,False,True,200,196,-0.087348,-0.118089,-0.519002,0.031383,-0.53298,0.4164,0.131284,0.186554,-0.139103,-0.380656,0.048485,0.108494,0.723905,0.004309
chrono,67,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.269155,0.272629,-0.00273,0.010039,0.015136,0.007738,281,-0.003474,-0.240958,286,260,220,0,3,3,0,25,0,0,1,182,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000964,-0.000917,0.001514,0.002618,True,True,200,57,0.34216,0.058509,-0.967745,-0.229353,0.27832,0.234708,0.137404,0.304755,-0.276067,-0.610352,0.731425,0.148622,0.7055,0.004944
chrono,67,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.302471,0.299071,0.002618,0.010109,0.015193,0.00705,408,0.003401,-0.240958,286,260,220,0,3,3,0,25,0,0,1,182,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000964,-0.000917,0.001514,0.002618,True,True,200,57,0.34216,0.058509,-0.967745,-0.229353,0.27832,0.234708,0.137404,0.304755,-0.276067,-0.610352,0.731425,0.148622,0.7055,0.004944
chrono,67,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.34486,0.344293,0.000422,0.003954,0.012594,0.003731,181,0.000568,-0.228427,184,260,220,0,0,0,0,50,0,0,1,292,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.001503,-0.001064,0.001958,0.004655,True,True,200,61,0.479646,0.409431,-0.609156,-0.372633,-0.790848,0.50311,0.108201,-0.062577,0.052443,0.274535,-0.058327,0.072998,0.567756,0.005861
chrono,67,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.428661,0.42204,0.004655,0.005895,0.012663,0.004513,284,0.00662,-0.228427,184,260,220,0,0,0,0,50,0,0,1,292,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.001503,-0.001064,0.001958,0.004655,True,True,200,61,0.479646,0.409431,-0.609156,-0.372633,-0.790848,0.50311,0.108201,-0.062577,0.052443,0.274535,-0.058327,0.072998,0.567756,0.005861
chrono,67,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.366645,0.362189,0.003271,0.002349,0.014852,0.004112,147,0.004456,-0.098586,230,260,220,0,0,0,0,10,0,0,0,245,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000731,-0.000378,0.000793,0.002346,True,True,200,196,0.4572,0.581353,-0.636118,-0.1972,-0.780872,0.428494,0.197651,0.023619,-0.004124,0.294709,-0.140553,0.087599,0.57162,0.007864
chrono,67,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.238549,0.23565,0.002346,0.002021,0.01718,0.004666,248,0.002899,-0.098586,230,260,220,0,0,0,0,10,0,0,0,245,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,0.000731,-0.000378,0.000793,0.002346,True,True,200,196,0.4572,0.581353,-0.636118,-0.1972,-0.780872,0.428494,0.197651,0.023619,-0.004124,0.294709,-0.140553,0.087599,0.57162,0.007864
chrono,77,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.270486,0.272629,-0.001684,0.009006,0.019213,0.002774,72,-0.002143,-0.166743,295,260,220,0,8,4,0,21,0,0,1,171,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001814,-0.000611,0.003324,0.00497,True,True,200,57,0.340515,-0.962037,-0.725408,0.259717,0.990902,0.229377,0.990934,0.027302,-0.897943,-0.389842,0.083175,0.053876,0.455678,0.012028
chrono,77,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.305528,0.299071,0.00497,0.008388,0.018954,0.002381,87,0.006457,-0.166743,295,260,220,0,8,4,0,21,0,0,1,171,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.001814,-0.000611,0.003324,0.00497,True,True,200,57,0.340515,-0.962037,-0.725408,0.259717,0.990902,0.229377,0.990934,0.027302,-0.897943,-0.389842,0.083175,0.053876,0.455678,0.012028
chrono,77,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.166172,184,260,220,2,0,0,0,48,0,0,1,291,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.003601,-0.012633,0.006941,-0.010997,False,True,200,61,-0.078922,0.672668,-0.388914,0.326034,-0.519425,0.220335,0.290439,0.334841,-0.2502,0.184647,-0.753115,0.055295,0.633848,0.00719
chrono,77,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.166172,184,260,220,2,0,0,0,48,0,0,1,291,False,False,0,0,0.3,0.395,0.0,0.35,0.4,0.25,-0.003601,-0.012633,0.006941,-0.010997,False,True,200,61,-0.078922,0.672668,-0.388914,0.326034,-0.519425,0.220335,0.290439,0.334841,-0.2502,0.184647,-0.753115,0.055295,0.633848,0.00719
chrono,77,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,-0.221722,241,260,220,0,0,2,0,8,0,0,1,236,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,4.1e-05,-0.00202,0.001827,-4.6e-05,False,True,200,196,0.272294,-0.376489,-0.250966,-0.71933,-0.726567,0.724977,0.073259,-0.671777,-0.359486,0.313292,0.182917,0.158633,0.337091,0.017871
chrono,77,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,-0.221722,241,260,220,0,0,2,0,8,0,0,1,236,False,False,0,0,0.89,0.0,0.0,0.3,0.5,0.2,4.1e-05,-0.00202,0.001827,-4.6e-05,False,True,200,196,0.272294,-0.376489,-0.250966,-0.71933,-0.726567,0.724977,0.073259,-0.671777,-0.359486,0.313292,0.182917,0.158633,0.337091,0.017871
chrono,87,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,-0.159526,290,260,220,0,7,6,0,30,0,0,4,177,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000176,-0.001675,0.001895,0.000612,False,True,200,57,-0.044597,-0.282727,0.439656,0.450324,-0.07999,-0.75198,0.152104,-0.797244,0.114562,0.736485,0.189009,0.052283,0.268178,0.01302
