variant,scenario,envelope,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,random_train_b14_p8696,random_train,14,8696,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004584038106151106
v25r_n8,random_train_b14_p8696,random_train,14,8696,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005516999086431489
v25r_n8,random_train_b14_p8696,random_train,14,8696,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005979103481492698
v25r_n8,random_train_b14_p8696,random_train,14,8696,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005212335050371247
v25r_n8,random_train_b14_p8696,random_train,14,8696,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004840310613196991
v25r_n8,random_train_b14_p8696,random_train,14,8696,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005758676466338963
v25r_n8,random_train_b14_p9908,random_train,14,9908,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0055479612101063894
v25r_n8,random_train_b14_p9908,random_train,14,9908,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005691007952318311
v25r_n8,random_train_b14_p9908,random_train,14,9908,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004739819765498321
v25r_n8,random_train_b14_p9908,random_train,14,9908,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005633682145657137
v25r_n8,random_train_b14_p9908,random_train,14,9908,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005955404991473063
v25r_n8,random_train_b14_p9908,random_train,14,9908,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0059173214807986645
v25r_n8,random_train_b14_p9908,random_train,14,9908,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005053754115418946
v25r_n8,random_train_b14_p9908,random_train,14,9908,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006032308775023249
v25r_n8,random_train_b15_p7333,random_train,15,7333,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005233593441498835
