variant,envelope,scenario,block_size,path_seed,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25t_pA,random_holdout,random_holdout_b13_p12612,13,12612,5,25,300,-0.004916134954241385,0.0020838650457586155,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b13_p12612,13,12612,17,25,300,-0.00577555979679411,0.0012244402032058899,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b17_p7370,17,7370,5,25,300,-0.005113835698117791,0.0018861643018822094,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b17_p7370,17,7370,17,25,300,-0.004675073374619754,0.0023249266253802464,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b18_p11802,18,11802,5,25,300,-0.0050406224985081625,0.0019593775014918376,False,0.005251300621383015
v25t_pA,random_holdout,random_holdout_b18_p11802,18,11802,17,25,300,-0.00469548900650234,0.00230451099349766,False,0.005251300621383015
v25t_pA,random_train,random_train_b13_p8083,13,8083,5,25,300,-0.004971029116176039,0.002028970883823961,False,0.005251300621383015
v25t_pA,random_train,random_train_b13_p8083,13,8083,17,25,300,-0.005795529962515094,0.0012044700374849058,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p8696,14,8696,5,25,300,-0.0059699716017696525,0.0010300283982303477,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p8696,14,8696,17,25,300,-0.004832855154775134,0.002167144845224866,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p9908,14,9908,5,25,300,-0.0059462200979510825,0.0010537799020489177,False,0.005251300621383015
v25t_pA,random_train,random_train_b14_p9908,14,9908,17,25,300,-0.005045844472219907,0.001954155527780093,False,0.005251300621383015
v25t_pA,random_train,random_train_b15_p7333,15,7333,5,25,300,-0.00530248483269159,0.0016975151673084103,False,0.005251300621383015
v25t_pA,random_train,random_train_b15_p7333,15,7333,17,25,300,-0.005875112510817964,0.0011248874891820358,False,0.005251300621383015
v25t_pA,random_train,random_train_b16_p9575,16,9575,5,25,300,-0.005628524430845699,0.0013714755691543014,False,0.005251300621383015
v25t_pA,random_train,random_train_b16_p9575,16,9575,17,25,300,-0.004470596159360585,0.0025294038406394152,False,0.005251300621383015
v25t_pA,random_train,random_train_b17_p10727,17,10727,5,25,300,-0.005279774182640295,0.0017202258173597048,False,0.005251300621383015
v25t_pA,random_train,random_train_b17_p10727,17,10727,17,25,300,-0.005751229361911036,0.0012487706380889642,False,0.005251300621383015
