variant,scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,slippage_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25k_n8,altseed_b20_s5252,20,5252,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0051848274465106595
v25k_n8,altseed_b20_s5252,20,5252,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003943922545092759
v25k_n8,altseed_b20_s5252,20,5252,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0043989655976290065
v25k_n8,altseed_b20_s5252,20,5252,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005505479219472298
v25k_n8,altseed_b20_s5252,20,5252,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0045690666583744705
v25k_n8,altseed_b20_s5252,20,5252,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00451575184283598
v25k_n8,altseed_b20_s5252,20,5252,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005667298428069889
v25k_n8,baseline_b20_s4242,20,4242,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.00396627428439889
v25k_n8,baseline_b20_s4242,20,4242,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.003658810201012713
v25k_n8,baseline_b20_s4242,20,4242,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0033473353408425663
v25k_n8,baseline_b20_s4242,20,4242,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004074462622237152
v25k_n8,baseline_b20_s4242,20,4242,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.003876166246753004
v25k_n8,baseline_b20_s4242,20,4242,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0036096879540407855
v25k_n8,baseline_b20_s4242,20,4242,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0043656045967391255
v25k_n8,baseline_b20_s4242,20,4242,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.004055543139004574
v25k_n8,baseline_b20_s4242,20,4242,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.003957736942883594
v25k_n8,baseline_b20_s4242,20,4242,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004799873701138352
v25k_n8,baseline_b20_s4242,20,4242,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004314821232002247
v25k_n8,baseline_b20_s4242,20,4242,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0041719914644903315
v25k_n8,baseline_b20_s4242,20,4242,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005110057539455087
v25k_n8,baseline_b20_s4242,20,4242,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004504626315827642
v25k_n8,baseline_b20_s4242,20,4242,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331520506860919
v25k_n8,deepcheck_b12_s8080,12,8080,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.00443636662367961
v25k_n8,deepcheck_b12_s8080,12,8080,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004732983271609014
v25k_n8,deepcheck_b12_s8080,12,8080,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004533866304294537
v25k_n8,deepcheck_b12_s8080,12,8080,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004735565464765467
v25k_n8,deepcheck_b12_s8080,12,8080,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004884454368304559
v25k_n8,deepcheck_b12_s8080,12,8080,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004721697452836926
v25k_n8,deepcheck_b12_s8080,12,8080,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0050759113686606955
v25k_n8,deepcheck_b12_s8080,12,8080,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005072575332673334
v25k_n8,deepcheck_b12_s8080,12,8080,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.00490537511548253
v25k_n8,deepcheck_b12_s8080,12,8080,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005634467465356901
v25k_n8,deepcheck_b12_s8080,12,8080,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005213840587622842
v25k_n8,deepcheck_b12_s8080,12,8080,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005149758284025807
v25k_n8,deepcheck_b12_s8080,12,8080,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005917678788437924
v25k_n8,deepcheck_b12_s8080,12,8080,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005682799157864027
v25k_n8,deepcheck_b12_s8080,12,8080,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00535749805179811
v25k_n8,deepcheck_b28_s9090,28,9090,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0027693342765301608
v25k_n8,deepcheck_b28_s9090,28,9090,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.002548899161666357
v25k_n8,deepcheck_b28_s9090,28,9090,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.003409747003017921
v25k_n8,deepcheck_b28_s9090,28,9090,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.002970964833600975
v25k_n8,deepcheck_b28_s9090,28,9090,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.002862883442759134
v25k_n8,deepcheck_b28_s9090,28,9090,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.0036736432704014385
v25k_n8,deepcheck_b28_s9090,28,9090,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0031574327557208903
v25k_n8,deepcheck_b28_s9090,28,9090,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0030265902821223207
v25k_n8,deepcheck_b28_s9090,28,9090,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.0037100866526564745
v25k_n8,deepcheck_b28_s9090,28,9090,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0035398443653630817
v25k_n8,deepcheck_b28_s9090,28,9090,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0032994297801792138
v25k_n8,deepcheck_b28_s9090,28,9090,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003758675893308322
v25k_n8,deepcheck_b28_s9090,28,9090,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0037689967703870954
v25k_n8,deepcheck_b28_s9090,28,9090,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0036295384848411107
v25k_n8,deepcheck_b28_s9090,28,9090,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004143645613751296
v25k_n8,stress_b14_s7070,14,7070,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004596032513187331
v25k_n8,stress_b14_s7070,14,7070,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.004296827590800256
v25k_n8,stress_b14_s7070,14,7070,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.005120130067662987
v25k_n8,stress_b14_s7070,14,7070,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004836510184625775
v25k_n8,stress_b14_s7070,14,7070,17,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.004350892275894663
v25k_n8,stress_b14_s7070,14,7070,29,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.005309557553858907
v25k_n8,stress_b14_s7070,14,7070,5,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.005081197430767409
v25k_n8,stress_b14_s7070,14,7070,17,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.004554789173594425
v25k_n8,stress_b14_s7070,14,7070,29,18,18,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253,-0.00571655721202915
v25k_n8,stress_b14_s7070,14,7070,5,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005627894615610579
v25k_n8,stress_b14_s7070,14,7070,17,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004724312117918527
v25k_n8,stress_b14_s7070,14,7070,29,22,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.006126117247504575
v25k_n8,stress_b14_s7070,14,7070,5,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0060941472781634864
v25k_n8,stress_b14_s7070,14,7070,17,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00485011214721795
v25k_n8,stress_b14_s7070,14,7070,29,25,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0064316530094890405
v25k_n8,stress_b30_s10010,30,10010,5,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.002481625604724258
v25k_n8,stress_b30_s10010,30,10010,17,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.00282614977604827
v25k_n8,stress_b30_s10010,30,10010,29,12,12,0.006012173537757137,0.003514175332343328,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060169198565612,-0.0022510361987234883
v25k_n8,stress_b30_s10010,30,10010,5,15,15,0.0058237221385891045,0.00346180296614107,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060495897350346,-0.002536530680697213
