variant,feature_family,signal_model_family,regime_drawdown_threshold,regime_drawdown_floor,state_scale_slope_min,state_scale_slope_max,scale_turnover_penalty,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,mean_validation_relative,mean_turnover
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,deepcheck_b12_s8080,5,25.0,300,-0.006197510076794743,0.000802489923205257,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,deepcheck_b12_s8080,17,22.0,300,-0.007049709464173681,-4.9709464173680606e-05,True,0.0036919730901055826,0.010161942746902363,0.0005744179714896591
v38b_state_scale_balanced_pen22,baseline,state_scaled_linear,-0.1,-0.22,-0.45,0.25,2.2,deepcheck_b12_s8080,17,25.0,300,-0.005997963183763949,0.0010020368162360514,False,0.004059256781869402,0.009367209574237067,0.0005226686812284791
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,baseline_b20_s4242,5,22.0,300,-0.006578662617850284,0.0004213373821497163,False,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,baseline_b20_s4242,5,25.0,300,-0.006816039030153381,0.00018396096984661919,False,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,baseline_b20_s4242,17,22.0,300,-0.007060788877094809,-6.0788877094809096e-05,True,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,baseline_b20_s4242,17,25.0,300,-0.007315941053210989,-0.0003159410532109887,True,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altblock_b16_s4242,5,22.0,300,-0.007269817952544022,-0.0002698179525440223,True,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altblock_b16_s4242,5,25.0,300,-0.00747464040301638,-0.00047464040301637995,True,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altblock_b16_s4242,17,22.0,300,-0.005915384470366053,0.0010846155296339475,False,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altblock_b16_s4242,17,25.0,300,-0.006225965754154383,0.0007740342458456171,False,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altseed_b20_s5252,5,22.0,300,-0.007182344593175816,-0.00018234459317581584,True,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altseed_b20_s5252,5,25.0,300,-0.0075441467695196215,-0.0005441467695196213,True,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altseed_b20_s5252,17,22.0,300,-0.006309595972420584,0.0006904040275794165,False,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,altseed_b20_s5252,17,25.0,300,-0.0066453653659799715,0.0003546346340200287,False,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,deepcheck_b12_s8080,5,22.0,300,-0.0066072117756928676,0.0003927882243071326,False,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,deepcheck_b12_s8080,5,25.0,300,-0.006835879880172752,0.0001641201198272482,False,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,deepcheck_b12_s8080,17,22.0,300,-0.007256064320329358,-0.00025606432032935795,True,0.003932618905588869,0.010309213892835256,0.0005180679656054782
v38b_state_scale_lowdrag_pen20,baseline,state_scaled_linear,-0.1,-0.22,-0.3,0.35,2.0,deepcheck_b12_s8080,17,25.0,300,-0.007435018300928198,-0.00043501830092819785,True,0.0037876886518211305,0.010004344760552763,0.0005180679656054782
