variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25v_n8,random_holdout,random_holdout_b12_p6198,5,22,600,1.5600842920248397,-0.006228083741143414,0.0007719162588565864,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p6198,5,25,600,1.544527999998536,-0.00652506015383183,0.00047493984616817,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p6198,17,22,600,1.5431901249685325,-0.005213809622149828,0.0017861903778501722,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p6198,17,25,600,1.8550238750176504,-0.005528338425693467,0.0014716615743065329,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p6198,29,22,600,1.5853992910124362,-0.004836298706116793,0.0021637012938832073,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p6198,29,25,600,1.5330527920159511,-0.004994529502037104,0.0020054704979628963,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p7889,5,22,600,1.511492207995616,-0.005283395843653988,0.0017166041563460126,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p7889,5,25,600,1.5129973749862984,-0.005482751291763088,0.0015172487082369124,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p7889,17,22,600,1.781624750001356,-0.00606146557882552,0.0009385344211744803,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p7889,17,25,600,1.564653667039238,-0.006198729264516694,0.000801270735483306,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p7889,29,22,600,1.7411720000091009,-0.005091071472331887,0.001908928527668113,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p7889,29,25,600,1.5488071250147186,-0.005278029633995512,0.0017219703660044878,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p8956,5,22,600,1.523164959042333,-0.005815283889082395,0.0011847161109176055,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p8956,5,25,600,1.5115024580154568,-0.005910979899915619,0.0010890201000843813,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p8956,17,22,600,1.5182622499996796,-0.0053097567771962055,0.0016902432228037946,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p8956,17,25,600,1.534490249992814,-0.005503686147283643,0.0014963138527163576,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p8956,29,22,600,1.5252980829682201,-0.005128358451426102,0.0018716415485738984,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p8956,29,25,600,1.5228702090098523,-0.005660278177108613,0.0013397218228913873,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b16_p10086,5,22,600,1.5494788750074804,-0.004995255572708534,0.0020047444272914662,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b16_p10086,5,25,600,1.5219064590055496,-0.005324833420030289,0.0016751665799697108,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b16_p10086,17,22,600,1.5114686249871738,-0.004619551402188104,0.0023804485978118958,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b16_p10086,17,25,600,1.5646618329919875,-0.005204137300300759,0.0017958626996992409,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b16_p10086,29,22,600,1.5252167920116335,-0.005466396488839564,0.0015336035111604357,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b16_p10086,29,25,600,1.5267579999635927,-0.005612399960360081,0.001387600039639919,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b17_p10077,5,22,600,1.655502040986903,-0.005128964272693692,0.0018710357273063081,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b17_p10077,5,25,600,1.5640139580355026,-0.005561706084719525,0.0014382939152804749,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b17_p10077,17,22,600,1.5250409159925766,-0.005715455320449863,0.001284544679550137,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b17_p10077,17,25,600,1.526244625041727,-0.005879884853759542,0.0011201151462404578,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b17_p10077,29,22,600,1.5189527089823969,-0.0050287442318197265,0.0019712557681802736,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b17_p10077,29,25,600,1.5118675419944339,-0.005139407008707464,0.0018605929912925362,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b17_p5406,5,22,600,1.5145819999743253,-0.005158314029845895,0.0018416859701541055,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b17_p5406,5,25,600,1.5327682909555733,-0.005520152334817158,0.0014798476651828422,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b17_p5406,17,22,600,1.539414625032805,-0.00490107164677277,0.0020989283532272304,False,0.005384220548819973
