variant,scenario,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25n_b,stress_b14_s7070,14,7070,5,22,0.005384221433503278,0.003339608203921207,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061258205198997,-0.005627900907132415
v25n_b,stress_b14_s7070,14,7070,11,22,0.005384221433503278,0.003339608203921207,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061258205198997,-0.005097012591274791
v25n_b,stress_b14_s7070,14,7070,17,22,0.005384221433503278,0.003339608203921207,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061258205198997,-0.004724312452930556
v25n_b,stress_b14_s7070,14,7070,23,22,0.005384221433503278,0.003339608203921207,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061258205198997,-0.005974456053339716
v25n_b,stress_b14_s7070,14,7070,29,22,0.005384221433503278,0.003339608203921207,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061258205198997,-0.006126122719580473
v25n_b,stress_b14_s7070,14,7070,5,25,0.005195957077866087,0.0032872417756337757,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061584886449151,-0.006094153671546958
v25n_b,stress_b14_s7070,14,7070,11,25,0.005195957077866087,0.0032872417756337757,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061584886449151,-0.005395322215564873
v25n_b,stress_b14_s7070,14,7070,17,25,0.005195957077866087,0.0032872417756337757,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061584886449151,-0.004850112501657627
v25n_b,stress_b14_s7070,14,7070,23,25,0.005195957077866087,0.0032872417756337757,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061584886449151,-0.00616823360934472
v25n_b,stress_b14_s7070,14,7070,29,25,0.005195957077866087,0.0032872417756337757,0.0006714766500265856,0.024086021505376344,-0.0018900199447301,0.0061584886449151,-0.006431658459594907
v25n_c,altblock_b16_s4242,16,4242,5,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.008408416682143588
v25n_c,altblock_b16_s4242,16,4242,11,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.00848632118751476
v25n_c,altblock_b16_s4242,16,4242,17,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.00842340955230968
v25n_c,altblock_b16_s4242,16,4242,23,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.007893589752247004
v25n_c,altblock_b16_s4242,16,4242,29,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.007855435378815483
v25n_c,altblock_b16_s4242,16,4242,5,25,0.004293935358032197,0.0006585178656421942,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0063214449908911,-0.008736606742657443
v25n_c,altblock_b16_s4242,16,4242,11,25,0.004293935358032197,0.0006585178656421942,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0063214449908911,-0.008799692355206917
v25n_c,altblock_b16_s4242,16,4242,17,25,0.004293935358032197,0.0006585178656421942,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0063214449908911,-0.008801739136547315
v25n_c,altblock_b16_s4242,16,4242,23,25,0.004293935358032197,0.0006585178656421942,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0063214449908911,-0.00822480582549932
v25n_c,altblock_b16_s4242,16,4242,29,25,0.004293935358032197,0.0006585178656421942,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0063214449908911,-0.007982525629080278
v25n_c,deepcheck_b12_s8080,12,8080,5,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.007818239945961031
v25n_c,deepcheck_b12_s8080,12,8080,11,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.009870864563635317
v25n_c,deepcheck_b12_s8080,12,8080,17,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.009979218594278855
v25n_c,deepcheck_b12_s8080,12,8080,23,22,0.004445169618529743,0.0009834621323974169,0.0005416325693656551,0.019784946236559138,-0.0018846664997055,0.0062134949024258,-0.00870002703412232
