variant,envelope,scenario,rows,pass_non_path,pass_case_floor,min_case_path,mean_path,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25r_pA,random_holdout,random_holdout_b12_p8284,8,True,False,-0.00702908477867602,-0.00589215524840031,-2.90847786760199e-05,0.0011078447515996898,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_holdout,random_holdout_b13_p12612,8,True,True,-0.005982249915498566,-0.005515144813076784,0.001017750084501434,0.0014848551869232158,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_holdout,random_holdout_b17_p7370,8,True,True,-0.005551478783614422,-0.005122378048990264,0.0014485212163855782,0.0018776219510097366,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_holdout,random_holdout_b18_p11802,8,True,True,-0.005217131862779195,-0.004744617744907474,0.001782868137220805,0.0022553822550925263,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_train,random_train_b13_p8083,8,True,True,-0.005795529962515094,-0.005258820868787328,0.0012044700374849058,0.0017411791312126725,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_train,random_train_b14_p8696,8,True,True,-0.0059699716017696525,-0.005277533673830257,0.0010300283982303477,0.0017224663261697429,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_train,random_train_b14_p9908,8,True,True,-0.006020212205123737,-0.005547002840262318,0.000979787794876263,0.0014529971597376824,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_train,random_train_b15_p7333,8,True,True,-0.005888606378084904,-0.0054364618979880815,0.0011113936219150963,0.0015635381020119186,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_train,random_train_b16_p9575,8,True,True,-0.005778305060320365,-0.005149546466372884,0.001221694939679635,0.0018504535336271158,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,random_train,random_train_b17_p10727,8,True,True,-0.006670878502052757,-0.0055405701836065335,0.00032912149794724326,0.0014594298163934667,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,sentinel,altblock_b24_s4242,8,True,True,-0.00422779091194615,-0.0036734255022255902,0.00277220908805385,0.00332657449777441,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,sentinel,baseline_b20_s4242,8,True,True,-0.005534879411018822,-0.00469543105156325,0.0014651205889811784,0.00230456894843675,0.005345294671968026,0.0006707529060632234,0.024086021505376344
v25r_pA,sentinel,stress_b30_s10010,8,True,True,-0.003940763193447816,-0.0031832678633085163,0.0030592368065521843,0.003816732136691484,0.005345294671968026,0.0006707529060632234,0.024086021505376344
